ID,Country,AncientComponent1,AncientComponent2,AncientComponent3,AncientComponent4,AncientComponent5,ModernComponent1,ModernComponent2,ModernComponent3,DateBP
12885A,UnitedKingdom,0.005,0,0,0,0,0,0.995,0,1165
NO3423,UnitedKingdom,0.126,0.101,0.007,0.089,0.025,0.032,0.613,0.005,1170
RISE568,CzechRepublic,0,0,0.011,0.067,0.228,0.014,0.672,0.008,1200
12881A,UnitedKingdom,0.044,0.061,0.04,0.052,0,0.007,0.77,0.025,1232
RISE569,CzechRepublic,0,0.06,0.077,0.042,0,0.038,0.774,0.009,1235
12883A,UnitedKingdom,0.006,0.001,0.018,0.022,0,0.001,0.943,0.008,1247
SZ43,Hungary,0,0,0,0,0,0,1,0,1415
RISE174,Sweden,0.17,0.155,0.008,0.113,0.021,0.097,0.428,0.01,1431
15558A,UnitedKingdom,0.002,0.001,0.003,0,0,0.003,0.991,0,1455
15577A,UnitedKingdom,0,0,0.005,0.007,0,0.003,0.981,0.004,1478
15570A,UnitedKingdom,0,0,0.006,0,0,0.003,0.99,0.001,1483
15569A,UnitedKingdom,0.021,0.032,0.032,0.055,0.009,0.004,0.815,0.033,1490
3DRIF16,UnitedKingdom,0.119,0.091,0.005,0.076,0.037,0.031,0.622,0.019,1700
3DRIF26,UnitedKingdom,0.256,0.033,0.054,0.016,0.018,0.093,0.496,0.033,1700
6DRIF18,UnitedKingdom,0.107,0.091,0.024,0.076,0.033,0.026,0.642,0.002,1700
6DRIF21,UnitedKingdom,0.096,0.115,0.032,0.073,0.012,0.03,0.633,0.01,1700
6DRIF22,UnitedKingdom,0.133,0.102,0.017,0.072,0.022,0.027,0.616,0.011,1700
6DRIF23,UnitedKingdom,0.111,0.125,0.008,0.058,0.016,0.023,0.643,0.015,1700
6DRIF3,UnitedKingdom,0.097,0.122,0.026,0.084,0.015,0.027,0.618,0.011,1700
12884A,UnitedKingdom,0.003,0,0.019,0.001,0.001,0.001,0.969,0.006,1995
12880A,UnitedKingdom,0,0.001,0,0.01,0.002,0.002,0.984,0,2017
M1489,UnitedKingdom,0.116,0.118,0.028,0.092,0.017,0.034,0.586,0.01,2035
15579A,UnitedKingdom,0,0,0,0.018,0,0.004,0.978,0,2155
I0247,Russia,0.009,0.401,0.182,0.023,0,0.002,0.293,0.09,2239
I0562,Kazakhstan,0.031,0.174,0.055,0.051,0,0.018,0.252,0.419,2250
I0563,Kazakhstan,0.029,0.162,0.052,0.044,0.003,0.017,0.208,0.487,2250
I0574,Russia,0.069,0.213,0.083,0.064,0.046,0.02,0.407,0.097,2250
I0575,Russia,0.07,0.248,0.057,0.075,0.013,0.01,0.429,0.099,2250
Kivutkalns194,Latvia,0.16,0.151,0.01,0.161,0.022,0.023,0.466,0.008,2268
I5769,Bulgaria,0.365,0.082,0.015,0.022,0.019,0.014,0.464,0.02,2400
Kivutkalns19,Latvia,0.139,0.169,0.014,0.162,0.034,0.017,0.455,0.009,2515
Kivutkalns222,Latvia,0.123,0.151,0.038,0.179,0.029,0.024,0.454,0.002,2523
Kivutkalns215,Latvia,0.112,0.159,0.022,0.147,0.021,0.016,0.51,0.013,2543
I0576,Russia,0,0.194,0.052,0.045,0.013,0.022,0.258,0.416,2550
I0577,Russia,0.069,0.241,0.064,0.083,0,0.008,0.304,0.232,2550
Kivutkalns209,Latvia,0.131,0.161,0.025,0.162,0.027,0.027,0.457,0.01,2610
Kivutkalns207,Latvia,0.118,0.154,0.043,0.166,0.036,0.018,0.466,0,2613
RISE276,Denmark,0,0,0.019,0,0.422,0.01,0.548,0,2621
Kivutkalns153,Latvia,0.18,0.2,0.012,0.156,0.028,0.011,0.398,0.014,2623
Kivutkalns25,Latvia,0.124,0.131,0.022,0.168,0.04,0.016,0.482,0.016,2623
Kivutkalns42,Latvia,0.139,0.178,0.024,0.181,0.029,0.011,0.433,0.006,2635
IS2,Kazakhstan,0.007,0.156,0.094,0.064,0.016,0.032,0.408,0.223,2700
Ze6b,Kazakhstan,0.047,0.133,0.015,0.035,0.021,0.071,0.287,0.391,2700
I3313,Croatia,0.295,0.126,0.017,0.045,0.001,0.015,0.483,0.017,2733
I2859,UnitedKingdom,0.168,0.188,0.03,0.077,0.002,0.009,0.515,0.012,2810
Turlojiske1,Lithuania,0.134,0.134,0,0.15,0.072,0.012,0.476,0.022,2820
I2860,UnitedKingdom,0.172,0.171,0.009,0.09,0.011,0.016,0.524,0.007,2842
F38,Iran,0.179,0.093,0.108,0.008,0.031,0.052,0.481,0.048,2852
I2861,UnitedKingdom,0.18,0.141,0.041,0.086,0.036,0.02,0.488,0.008,2852
I3130,UnitedKingdom,0.164,0.168,0.046,0.097,0.023,0.017,0.481,0.005,2853
IR1,Hungary,0.074,0.473,0,0,0,0.009,0.37,0.074,2855
Turlojiske3,Lithuania,0.126,0.156,0.027,0.132,0.015,0.015,0.507,0.022,2855
RISE397,Armenia,0.018,0.034,0.446,0.023,0.034,0.036,0.381,0.029,2902
I5383,UnitedKingdom,0.155,0.194,0.037,0.089,0.024,0.012,0.469,0.019,2945
RISE407,Armenia,0.01,0.161,0.544,0.032,0.011,0.005,0.238,0,2955
RISE396,Armenia,0.082,0,0.402,0,0.049,0.01,0.407,0.05,3015
RISE412,Armenia,0,0.244,0.541,0,0,0,0.209,0.006,3019
I0099,Germany,0.105,0.008,0.024,0.058,0.289,0.014,0.483,0.019,3036
I7628,UnitedKingdom,0.204,0.178,0.026,0.095,0.017,0.016,0.46,0.004,3043
I7576,UnitedKingdom,0.207,0.138,0.006,0.085,0.023,0.015,0.509,0.017,3055
RISE408,Armenia,0.118,0.074,0.289,0,0.081,0.032,0.379,0.028,3059
I7578,UnitedKingdom,0.17,0.145,0.036,0.095,0.038,0.01,0.499,0.007,3069
I7580,UnitedKingdom,0.17,0.175,0.032,0.102,0.023,0.014,0.475,0.009,3087
I7575,UnitedKingdom,0.171,0.175,0.032,0.095,0.019,0.015,0.478,0.016,3103
I1504,Hungary,0.33,0.185,0,0.164,0.007,0.01,0.295,0.009,3174
I7577,UnitedKingdom,0.192,0.152,0.024,0.113,0.038,0.015,0.453,0.013,3205
I7626,UnitedKingdom,0.165,0.145,0.043,0.096,0.016,0.015,0.507,0.012,3213
RISE175,Sweden,0.035,0.136,0,0,0.006,0.039,0.784,0,3214
RISE423,Armenia,0,0.037,0.667,0,0.172,0,0.124,0,3257
I7627,UnitedKingdom,0.179,0.143,0.029,0.099,0.027,0.009,0.499,0.016,3266
I7574,UnitedKingdom,0.159,0.159,0.031,0.111,0.038,0.011,0.486,0.005,3268
I9006,Greece,0.355,0.096,0.014,0.009,0.007,0.024,0.476,0.02,3287
RISE496,Russia,0.131,0.248,0.035,0.102,0.022,0.088,0.229,0.145,3288
I9033,Greece,0.358,0.058,0.028,0.009,0.019,0.039,0.462,0.027,3298
I7571,UnitedKingdom,0.144,0.173,0.023,0.092,0.026,0.012,0.511,0.019,3304
I7640,UnitedKingdom,0.162,0.164,0.036,0.104,0.021,0.008,0.503,0.002,3306
I2655,UnitedKingdom,0.202,0.138,0.009,0.083,0.033,0.013,0.511,0.012,3307
RISE210,Sweden,0.077,0,0,0.212,0.053,0.061,0.597,0,3312
RISE512,Russia,0.038,0.303,0.039,0.064,0.006,0.042,0.355,0.153,3322
I2458,UnitedKingdom,0.203,0.149,0.022,0.097,0.018,0.015,0.489,0.008,3340
I7579,UnitedKingdom,0.16,0.199,0.037,0.102,0.018,0.015,0.461,0.008,3348
I2653,UnitedKingdom,0.16,0.134,0.021,0.104,0.033,0.016,0.532,0,3350
I2654,UnitedKingdom,0.135,0.171,0.042,0.106,0.028,0.011,0.489,0.018,3350
I2573,UnitedKingdom,0.202,0.174,0.01,0.091,0.006,0.008,0.487,0.02,3351
RISE502,Russia,0.137,0.253,0.025,0.106,0.031,0.066,0.139,0.243,3351
I7572,UnitedKingdom,0.202,0.175,0.003,0.1,0.006,0.013,0.475,0.026,3356
RISE47,Denmark,0.04,0.007,0.037,0.137,0.209,0.053,0.486,0.031,3362
I3082,UnitedKingdom,0.159,0.121,0.034,0.089,0.019,0.017,0.546,0.014,3396
I7568,UnitedKingdom,0.166,0.203,0.02,0.089,0.005,0.013,0.49,0.014,3400
I9010,Greece,0.407,0.064,0.004,0.027,0.009,0.025,0.439,0.025,3400
I9041,Greece,0.315,0.066,0.011,0.015,0.013,0.02,0.539,0.022,3400
I1656,Armenia,0.041,0,0.556,0,0.228,0,0.175,0,3402
RISE493,Russia,0.085,0.228,0.047,0.084,0.008,0.136,0.177,0.235,3429
RISE523,Russia,0.132,0.264,0.04,0.107,0.015,0.083,0.257,0.102,3448
I2639,UnitedKingdom,0.159,0.179,0.056,0.08,0.026,0.008,0.481,0.011,3465
I0232,Russia,0.029,0.354,0.005,0.015,0,0.007,0.587,0.003,3475
I0359,Russia,0.043,0.308,0.06,0.028,0,0.006,0.554,0,3475
I0360,Russia,0.038,0.962,0,0,0,0,0,0,3475
I0361,Russia,0.022,0.391,0.098,0.069,0,0.021,0.38,0.019,3475
I0422,Russia,0.021,0.542,0,0.014,0,0,0.422,0,3475
I0423,Russia,0.008,0.332,0.03,0.016,0.006,0.012,0.596,0,3475
RISE416,Armenia,0,0,1,0,0,0,0,0,3494
I4332,Croatia,0.308,0.102,0.004,0.052,0.01,0.017,0.491,0.016,3516
I7573,UnitedKingdom,0.168,0.171,0.035,0.092,0.051,0.016,0.456,0.011,3525
I4331,Croatia,0.298,0.115,0.006,0.041,0.012,0.016,0.498,0.013,3526
RISE480,Hungary,0.079,0.05,0.014,0.07,0,0.036,0.735,0.016,3550
RISE500,Russia,0.013,0.143,0.082,0.051,0.003,0.041,0.619,0.047,3550
RISE471,Germany,0.075,0,0.063,0.086,0.111,0.049,0.572,0.045,3555
RISE503,Russia,0.041,0.279,0.042,0.042,0,0.031,0.526,0.039,3569
I1775,UnitedKingdom,0.132,0.143,0.036,0.088,0.054,0.01,0.534,0.004,3581
I7570,UnitedKingdom,0.205,0.166,0.009,0.123,0.022,0.013,0.453,0.009,3583
rath3,UnitedKingdom,0.112,0.14,0.016,0.075,0.024,0.037,0.585,0.011,3585
RISE247,Hungary,0.142,0,0,0.028,0.004,0.021,0.797,0.007,3629
ATP9,Spain,0.186,0.03,0.002,0.049,0,0.068,0.664,0.001,3634
RISE505,Russia,0.009,0.038,0.037,0.022,0.039,0.037,0.781,0.036,3636
I2163,Bulgaria,0.099,0.272,0.067,0.098,0.015,0.015,0.406,0.028,3638
I2981,UnitedKingdom,0.19,0.168,0.026,0.095,0.02,0.013,0.472,0.017,3673
I0234,Russia,0.044,0.439,0.033,0.06,0,0.001,0.423,0,3675
I0235,Russia,0.11,0.416,0,0.076,0,0.005,0.384,0.009,3675
I0424,Russia,0.09,0.605,0,0.044,0,0,0.261,0,3675
I0430,Russia,0.008,0.278,0.053,0.053,0,0.01,0.598,0,3675
I0431,Russia,0.177,0.272,0.151,0.081,0,0,0.289,0.031,3675
I5516,UnitedKingdom,0.214,0.168,0.068,0.117,0.032,0.023,0.369,0.009,3691
RISE374,Hungary,0.098,0.008,0.158,0.039,0.144,0.062,0.471,0.02,3693
RISE479,Hungary,0.034,0.014,0.007,0.191,0,0.029,0.721,0.005,3700
RISE483,Hungary,0.348,0.078,0.005,0.11,0,0.007,0.428,0.025,3700
RISE484,Hungary,0.061,0.023,0.097,0.087,0.042,0.046,0.587,0.057,3700
I6680,UnitedKingdom,0.162,0.162,0.033,0.086,0.012,0.017,0.516,0.013,3701
I4070,TheNetherlands,0.182,0.213,0.04,0.093,0.004,0.013,0.449,0.007,3719
I0358,Russia,0.076,0.573,0,0.105,0.053,0,0.191,0.002,3721
I4071,TheNetherlands,0.212,0.164,0.023,0.109,0.021,0.01,0.455,0.005,3724
RISE150,Poland,0.016,0.039,0.041,0.095,0.029,0.044,0.709,0.027,3739
I4892,CzechRepublic,0.166,0.154,0.046,0.124,0.01,0.01,0.478,0.012,3741
RISE373,Hungary,0.233,0.141,0,0.064,0,0.029,0.511,0.021,3741
I5377,UnitedKingdom,0.172,0.155,0.032,0.093,0.029,0.009,0.479,0.03,3744
I2602,UnitedKingdom,0.204,0.207,0.018,0.115,0.027,0.012,0.393,0.022,3746
RISE413,Armenia,0,0.51,0.447,0,0,0,0.043,0,3752
I2463,UnitedKingdom,0.179,0.175,0.032,0.145,0.043,0.012,0.41,0.004,3763
I4884,CzechRepublic,0.159,0.216,0.002,0.077,0.014,0.012,0.495,0.024,3764
I4076,TheNetherlands,0.182,0.201,0.021,0.104,0.016,0.007,0.45,0.019,3766
I5441,UnitedKingdom,0.173,0.151,0.049,0.114,0.034,0.017,0.445,0.017,3791
I2421,UnitedKingdom,0.177,0.171,0.011,0.096,0.024,0.014,0.492,0.015,3795
RISE154,Poland,0,0,0.162,0.02,0.31,0.009,0.499,0,3795
I0070,Greece,0.41,0.041,0,0.002,0,0.024,0.499,0.023,3800
I0071,Greece,0.367,0.025,0.013,0.003,0.002,0.02,0.546,0.024,3800
I0073,Greece,0.408,0.04,0,0.002,0.004,0.017,0.5,0.03,3800
I0074,Greece,0.396,0.024,0,0,0.006,0.017,0.529,0.029,3800
I6623,Spain,0.268,0.147,0.014,0.111,0.009,0.014,0.434,0.004,3800
I9005,Greece,0.409,0.031,0,0.009,0.009,0.023,0.504,0.015,3800
RISE394,Russia,0,0.037,0.057,0.017,0.013,0.028,0.837,0.01,3802
I0354,Russia,0,1,0,0,0,0,0,0,3803
I2601,UnitedKingdom,0.224,0.171,0.035,0.114,0.01,0.011,0.426,0.009,3803
I0115,Germany,0.163,0.37,0,0.108,0,0.004,0.355,0,3807
RISE395,Russia,0.005,0.049,0.054,0.019,0.003,0.028,0.83,0.011,3808
RISE109,Poland,0,0.019,0.029,0.049,0.192,0.007,0.694,0.01,3813
rath2,UnitedKingdom,0.113,0.153,0.02,0.074,0.023,0.051,0.552,0.014,3833
RISE179,Sweden,0.1,0,0,0,0.481,0,0.419,0,3843
I2609,UnitedKingdom,0.205,0.193,0.051,0.091,0.021,0.015,0.411,0.013,3847
I5515,UnitedKingdom,0.262,0.212,0.044,0.109,0,0.021,0.343,0.009,3855
RISE349,Hungary,0,0,0.458,0.046,0.002,0.034,0.459,0,3859
Spiginas2,Lithuania,0.121,0.185,0.03,0.196,0.032,0.025,0.412,0,3890
I7195,CzechRepublic,0.19,0.172,0.042,0.099,0.038,0.016,0.438,0.006,3900
I7196,CzechRepublic,0.215,0.125,0.023,0.094,0.016,0.014,0.51,0.004,3900
I7197,CzechRepublic,0.462,0.018,0.002,0.027,0,0.023,0.464,0.005,3900
I7198,CzechRepublic,0.144,0.228,0.022,0.122,0.011,0.014,0.436,0.022,3900
I7199,CzechRepublic,0.141,0.228,0.037,0.107,0.019,0.016,0.449,0.005,3900
I7200,CzechRepublic,0.167,0.216,0.054,0.097,0.017,0.015,0.424,0.01,3900
I7201,CzechRepublic,0.199,0.206,0.034,0.117,0.013,0.015,0.412,0.004,3900
I7202,CzechRepublic,0.202,0.194,0.035,0.104,0.046,0.017,0.402,0.001,3900
RISE486,Italy,0.265,0.013,0,0.06,0.005,0.07,0.551,0.037,3904
RISE97,Sweden,0.072,0.04,0.141,0.163,0.013,0.036,0.528,0.007,3905
rath1,UnitedKingdom,0.086,0.171,0.037,0.076,0.024,0.028,0.561,0.017,3906
I0164,Germany,0.117,0.277,0,0.087,0.054,0.002,0.462,0.001,3909
I1770,UnitedKingdom,0.194,0.158,0.021,0.104,0.04,0.018,0.455,0.011,3950
I0047,Germany,0.141,0.115,0,0.081,0.183,0.007,0.472,0.001,3951
I3132,UnitedKingdom,0.185,0.207,0.039,0.097,0.015,0.016,0.435,0.005,3953
RISE391,Kazakhstan,0,0.2,0.062,0.071,0,0.088,0.578,0,3954
I6679,UnitedKingdom,0.109,0.144,0.023,0.059,0.032,0.029,0.594,0.011,3957
I2462,UnitedKingdom,0.219,0.12,0.016,0.096,0.008,0.011,0.502,0.029,3960
RISE392,Russia,0.012,0.038,0.012,0.028,0.02,0.05,0.832,0.009,3961
I2447,UnitedKingdom,0.161,0.188,0.041,0.109,0.027,0.021,0.452,0.001,3963
I6604,Spain,0.356,0.017,0,0.105,0.006,0.03,0.485,0.001,3966
RISE254,Hungary,0,0,0.617,0,0,0,0.383,0,3969
I4075,TheNetherlands,0.162,0.198,0.046,0.099,0.018,0.014,0.458,0.005,3978
I7638,UnitedKingdom,0.187,0.168,0.021,0.096,0.041,0.015,0.461,0.011,3982
I2600,UnitedKingdom,0.195,0.173,0.013,0.101,0.04,0.011,0.447,0.02,3985
I0116,Germany,0.003,0.197,0.095,0.1,0,0.005,0.598,0.001,3987
I0803,Germany,0.066,0,0,0,0.181,0,0.709,0.044,3987
I4069,TheNetherlands,0.161,0.171,0.033,0.123,0.031,0.013,0.457,0.011,3988
RISE371,Hungary,0.053,0.106,0.007,0.181,0,0.013,0.577,0.064,3989
I3875,France,0.212,0.15,0.01,0.091,0.023,0.009,0.481,0.024,3990
I4068,TheNetherlands,0.198,0.214,0.021,0.108,0.004,0.009,0.435,0.011,3991
I2618,UnitedKingdom,0.171,0.176,0.042,0.097,0.019,0.015,0.48,0,3992
I3255,UnitedKingdom,0.154,0.176,0.041,0.109,0.032,0.011,0.463,0.014,3992
I0114,Germany,0.198,0,0.001,0.021,0.658,0.007,0.111,0.004,3995
I0419,Russia,0.072,0.266,0.03,0.039,0,0.009,0.584,0,4000
I4073,TheNetherlands,0.162,0.212,0.028,0.113,0.023,0.016,0.438,0.009,4000
I0804,Germany,0,0,0.2,0.147,0.041,0.025,0.587,0,4001
I1979,Italy,0.315,0.07,0,0.035,0.037,0.024,0.511,0.007,4015
I2477,Italy,0.385,0.028,0,0.076,0,0.021,0.483,0.008,4015
I2478,Italy,0.293,0.058,0.01,0.069,0.029,0.015,0.509,0.018,4017
I2567,UnitedKingdom,0.186,0.198,0.026,0.126,0.027,0.02,0.414,0.003,4030
I1705,Jordan,0.65,0.007,0.342,0,0.002,0,0,0,4032
I0418,Russia,0,0,0,0,1,0,0,0,4035
I7635,UnitedKingdom,0.131,0.181,0.039,0.094,0.022,0.013,0.512,0.01,4036
I5373,UnitedKingdom,0.091,0.204,0.064,0.092,0.026,0.004,0.498,0.021,4037
I1767,UnitedKingdom,0.219,0.161,0,0.089,0.009,0.01,0.5,0.012,4040
I2454,UnitedKingdom,0.118,0.19,0.04,0.095,0.039,0.01,0.486,0.022,4041
I4074,TheNetherlands,0.117,0.176,0.062,0.102,0.03,0.01,0.487,0.016,4047
I5035,CzechRepublic,0.129,0,0.004,0.058,0.388,0.008,0.412,0,4050
I5043,CzechRepublic,0.199,0.149,0,0.117,0.015,0.01,0.501,0.009,4050
I5044,CzechRepublic,0.199,0.138,0.045,0.071,0.044,0.017,0.475,0.012,4050
I5750,TheNetherlands,0.148,0.208,0.045,0.116,0.012,0.013,0.448,0.01,4050
I4888,CzechRepublic,0.229,0.152,0.017,0.09,0,0.018,0.484,0.009,4060
RISE71,Denmark,0,0.02,0.064,0.021,0.101,0.054,0.738,0.003,4060
I3256,UnitedKingdom,0.182,0.142,0.026,0.11,0.047,0.017,0.465,0.011,4066
I3874,France,0.222,0.145,0.012,0.1,0,0.015,0.487,0.018,4068
I2566,UnitedKingdom,0.195,0.171,0.032,0.121,0.021,0.011,0.43,0.02,4070
I4887,CzechRepublic,0.21,0.132,0.013,0.083,0.015,0.014,0.524,0.009,4070
I4886,CzechRepublic,0.226,0.124,0.018,0.091,0.02,0.013,0.491,0.016,4074
I6542,Spain,0.372,0.02,0,0.111,0,0.027,0.447,0.023,4075
I2452,UnitedKingdom,0.191,0.192,0.026,0.11,0.032,0.018,0.429,0.002,4078
I5382,UnitedKingdom,0.198,0.182,0.037,0.096,0.013,0.025,0.448,0,4080
I5665,Spain,0.248,0.059,0,0.086,0.021,0.012,0.561,0.012,4082
I1502,Hungary,0.19,0.036,0.066,0.306,0,0.006,0.393,0.004,4088
I5471,UnitedKingdom,0.166,0.139,0.021,0.091,0.015,0.011,0.541,0.016,4096
I2604,UnitedKingdom,0.165,0.19,0.026,0.103,0.028,0.013,0.456,0.018,4098
I1381,France,0.194,0.207,0.019,0.116,0.013,0.016,0.419,0.015,4100
I4950,UnitedKingdom,0.116,0.205,0.039,0.084,0.006,0.01,0.52,0.02,4100
I4951,UnitedKingdom,0.089,0.17,0.054,0.127,0.008,0.031,0.52,0,4100
I5512,UnitedKingdom,0.156,0.182,0.042,0.115,0.028,0.016,0.446,0.015,4100
I5513,UnitedKingdom,0.124,0.183,0.062,0.119,0.024,0.013,0.461,0.014,4100
I2597,UnitedKingdom,0.154,0.185,0.032,0.1,0.036,0.013,0.461,0.018,4101
I2596,UnitedKingdom,0.145,0.229,0.031,0.105,0,0.018,0.463,0.009,4104
RISE98,Sweden,0,0,0.002,0.028,0.448,0,0.521,0,4104
I5024,CzechRepublic,0,0,0.025,0,0,0.038,0.931,0.005,4105
I0117,Germany,0.217,0,0,0.008,0.768,0,0.007,0,4106
I2443,UnitedKingdom,0.132,0.167,0.054,0.098,0.034,0.014,0.494,0.007,4106
I4895,CzechRepublic,0.168,0.209,0.029,0.105,0,0.004,0.477,0.008,4110
RISE828,Kazakhstan,0,0.281,0,0,0,0,0.414,0.305,4111.5
I2568,UnitedKingdom,0.208,0.186,0.007,0.129,0.011,0.01,0.436,0.015,4112
I6531,Poland,0.157,0.255,0.042,0.102,0.009,0.018,0.407,0.01,4112
I2445,UnitedKingdom,0.176,0.173,0.035,0.127,0.017,0.013,0.444,0.016,4113
I0171,Germany,0.004,0.253,0.251,0.06,0,0.024,0.408,0,4114
I2453,UnitedKingdom,0.122,0.193,0.054,0.104,0.024,0.013,0.468,0.021,4114
I6537,Poland,0.18,0.165,0.034,0.094,0.054,0.01,0.438,0.025,4116
I6774,UnitedKingdom,0.161,0.235,0.053,0.1,0.012,0.015,0.422,0.002,4116
RISE431,Poland,0.032,0.071,0.058,0.045,0.026,0.061,0.682,0.024,4117
I6583,Poland,0.163,0.169,0.032,0.108,0.04,0.014,0.46,0.013,4120
I4889,CzechRepublic,0.184,0.161,0.036,0.075,0.027,0.016,0.477,0.023,4122
I4891,CzechRepublic,0.224,0.127,0.015,0.105,0.021,0.01,0.491,0.007,4122
RISE386,Russia,0.026,0.233,0.077,0.068,0,0.045,0.542,0.009,4122
I0113,Germany,0.111,0.175,0.034,0.073,0.001,0.024,0.582,0,4140
I6579,Poland,0.15,0.207,0.023,0.168,0.023,0.02,0.401,0.009,4141
I0246,Russia,0.129,0.526,0.035,0.062,0,0,0.18,0.068,4149
I4229,Portugal,0.292,0.032,0,0.083,0.013,0.02,0.554,0.007,4150
I5025,CzechRepublic,0.137,0.117,0.044,0.12,0.029,0.029,0.497,0.025,4150
I5666,CzechRepublic,0.214,0.171,0.003,0.075,0.02,0.013,0.486,0.018,4150
I6480,CzechRepublic,0.206,0.152,0.014,0.111,0.052,0.015,0.441,0.009,4150
I6582,Poland,0.255,0.141,0,0.075,0.009,0.02,0.49,0.01,4150
I6775,UnitedKingdom,0.167,0.181,0.05,0.095,0.034,0.02,0.443,0.009,4150
I6777,UnitedKingdom,0.147,0.195,0.052,0.118,0.018,0.012,0.437,0.02,4150
I6778,UnitedKingdom,0.151,0.176,0.076,0.066,0.05,0.013,0.449,0.02,4150
E09613_d,Germany,0.159,0.196,0.086,0.105,0.041,0.011,0.374,0.029,4165
I0058,Germany,0.145,0.257,0.103,0.183,0,0.007,0.303,0,4165
I4896,CzechRepublic,0.246,0.171,0.016,0.084,0.02,0.015,0.43,0.019,4165
I4885,CzechRepublic,0.265,0.126,0.019,0.074,0.018,0.022,0.461,0.015,4166
