ID,Country,AncientComponent1,AncientComponent2,AncientComponent3,AncientComponent4,AncientComponent5,ModernComponent1,ModernComponent2,ModernComponent3,DateBP
I7411,Uzbekistan,0.13,0.22,0.23,0.02,0,0.04,0.28,0.09,3335
I7412,Uzbekistan,0.15,0.19,0.25,0.02,0.02,0.04,0.24,0.08,3405
I7414,Uzbekistan,0.12,0.21,0.24,0,0.01,0.04,0.29,0.08,3615
I7416,Uzbekistan,0.13,0.18,0.23,0.01,0.02,0.04,0.31,0.07,3545
I7419,Uzbekistan,0.13,0.19,0.23,0.01,0.03,0.04,0.3,0.07,3475
I7421,Uzbekistan,0.12,0.19,0.24,0.01,0.02,0.04,0.32,0.06,3525
I7492,Uzbekistan,0.11,0.19,0.25,0,0.01,0.04,0.32,0.08,3560
I7494,Uzbekistan,0.18,0.14,0.22,0.01,0.02,0.05,0.31,0.08,3575
I7495,Uzbekistan,0.15,0.19,0.23,0.01,0.02,0.04,0.28,0.07,3560
I7542,Uzbekistan,0.17,0.25,0.26,0.01,0.01,0.04,0.21,0.05,3495
I8506,Uzbekistan,0.12,0.24,0.09,0.08,0,0.02,0.43,0.02,3375
ARS008,Mongolia,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.340407,0.659533,3222
ARS026,Mongolia,0.00001,0.00001,0.00001,0.00001,0.00001,0.001383,0.651063,0.347504,3012
Bon004,Turkey,0.383394,0.025988,0.008477,0.050023,0.00001,0.045474,0.46675,0.019883,9952
Botai14,Kazakhstan,0.00001,0.271099,0.00001,0.091641,0.00001,0.00001,0.508729,0.128491,5312.5
Chaudardes1,France,0.055912,0.013496,0.00001,0.519019,0.023867,0.099173,0.288513,0.00001,8255
DA101,Kyrgyzstan,0.00001,0.00756,0.011204,0.019766,0.00001,0.00001,0.781988,0.179452,1763
DA221,Kazakhstan,0.00001,0.065619,0.00001,0.00001,0.00001,0.00001,0.753771,0.180561,2769
DA223,Kazakhstan,0.00001,0.002631,0.00001,0.00001,0.001764,0.00001,0.896604,0.098961,2389
DA38,Mongolia,0.00001,0.00001,0.00001,0.000011,0.00001,0.00001,0.742521,0.257418,2175
DA382,Turkmenistan,0.00001,0.079708,0.00001,0.00001,0.00001,0.00001,0.890296,0.029946,2855
DA39,Mongolia,0.00001,0.00001,0.006727,0.00001,0.00001,0.00001,0.244954,0.748269,1998
DA45,Mongolia,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.116458,0.883482,2145
E09537_d,Germany,0.160123,0.247431,0.070209,0.090304,0.00296,0.016279,0.379426,0.033268,4385
EHU001,Spain,0.236035,0.14984,0.006717,0.091273,0.00001,0.011678,0.491589,0.012858,4165.5
EHU002,Spain,0.191668,0.041622,0.005133,0.095301,0.02905,0.016957,0.605941,0.014328,4434
gun011,Spain,0.077049,0.00001,0.003406,0.00001,0.00001,0.003451,0.916054,0.00001,1209
I0257,Spain,0.386639,0.00001,0.00001,0.086811,0.016529,0.011502,0.498489,0.00001,4460
I0627,Vietnam,0.140186,0.106843,0.02521,0.030211,0.00001,0.025358,0.00001,0.672172,4013
I0704,Bulgaria,0.480186,0.029455,0.00001,0.00001,0.00001,0.020744,0.469576,0.00001,7939
I0785,Bulgaria,0.419785,0.038578,0.00001,0.00366,0.00001,0.020271,0.503501,0.014185,6407
I0826,Spain,0.330441,0.00001,0.00001,0.100337,0.00001,0.010913,0.548807,0.009473,4658
I0839,Portugal,0.315473,0.021693,0.00001,0.069343,0.031797,0.022173,0.539502,0.00001,4331.5
I0843,Spain,0.050593,0.014665,0.00001,0.564016,0.011444,0.024874,0.29444,0.039959,7903
I10852,Spain,0.262005,0.044588,0.003637,0.07047,0.007993,0.033916,0.559424,0.017967,938.5
I10853,Spain,0.30863,0.062025,0.00001,0.044843,0.00001,0.022379,0.546012,0.016091,929
I10866,Spain,0.226057,0.097362,0.005164,0.095517,0.00001,0.075506,0.484739,0.015646,1996
I10895,Spain,0.245433,0.078314,0.00001,0.067573,0.010984,0.032484,0.529647,0.035555,1121
I10897,Spain,0.228893,0.121653,0.00001,0.092712,0.018502,0.020356,0.499901,0.017974,881.5
I11301,Spain,0.315061,0.00001,0.001665,0.143396,0.011023,0.015793,0.499818,0.013234,5185.5
I1137,Vietnam,0.123775,0.053873,0.057677,0.033785,0.004832,0.03664,0.00001,0.689407,3813
I12410,Spain,0.273502,0.058771,0.00001,0.097033,0.022327,0.020811,0.509977,0.017569,2445
I12514,Spain,0.255455,0.066966,0.00001,0.057381,0.00001,0.046793,0.546873,0.026513,912.5
I12516,Spain,0.233498,0.067153,0.021726,0.054116,0.00001,0.05105,0.559048,0.013399,991.5
I12878,Spain,0.258498,0.04215,0.00001,0.105625,0.026665,0.016333,0.518899,0.03182,2436.5
I12879,Spain,0.208799,0.053156,0.004736,0.091174,0.002772,0.011354,0.599489,0.028519,2562.5
I1298,Bulgaria,0.526933,0.00001,0.011836,0.01554,0.002841,0.011133,0.431696,0.00001,7935
I1389,France,0.208842,0.180027,0.046616,0.079391,0.097195,0.016871,0.365591,0.005466,4373
I1594,Germany,0.198107,0.050303,0.00001,0.311219,0.00001,0.01945,0.402941,0.017961,5181
I1836,Spain,0.273353,0.098691,0.00001,0.099554,0.00001,0.014149,0.510726,0.003507,3593.5
I1840,Spain,0.250064,0.05438,0.00001,0.124531,0.00001,0.013416,0.545028,0.012561,3557
I1955,Iran,0.226111,0.129367,0.141002,0.021404,0.022549,0.038655,0.36537,0.055542,543
I1975,Spain,0.404326,0.050466,0.00001,0.102521,0.00001,0.016991,0.425666,0.00001,4992
I1976,Spain,0.330055,0.032426,0.00001,0.115421,0.00001,0.017124,0.490381,0.014573,4459
I1977,Spain,0.231792,0.010218,0.002378,0.131095,0.042798,0.022244,0.528802,0.030673,3557
I1981,Spain,0.328454,0.044488,0.022003,0.164416,0.014916,0.022208,0.40256,0.000956,4953
I2405,Poland,0.326953,0.00001,0.00001,0.115038,0.00001,0.010266,0.547703,0.00001,5178
I2446,UnitedKingdom,0.135923,0.167471,0.051065,0.126608,0.00001,0.004868,0.514044,0.00001,4297
I2455,UnitedKingdom,0.152647,0.213736,0.051654,0.096055,0.00001,0.008089,0.477798,0.00001,4018
I2467,Spain,0.376883,0.00001,0.013906,0.174802,0.02285,0.00001,0.39428,0.017259,4347
I2469,Spain,0.254648,0.020887,0.00001,0.113325,0.036845,0.042829,0.511401,0.020055,2875
I2470,Spain,0.333793,0.066905,0.00001,0.103447,0.016288,0.02542,0.453604,0.000532,3321
I2471,Spain,0.318324,0.07727,0.00001,0.108648,0.023077,0.02644,0.43794,0.00829,3563.5
I2472,Spain,0.295919,0.055198,0.00001,0.100333,0.039949,0.014646,0.464014,0.029932,3515
I2473,Spain,0.324007,0.00001,0.00001,0.127631,0.024823,0.007339,0.502241,0.01394,4815
I3323,Spain,0.308932,0.055299,0.00001,0.112053,0.016367,0.016618,0.466544,0.024178,2284.5
I3324,Spain,0.262276,0.110148,0.00001,0.098847,0.00001,0.012224,0.516476,0.00001,2276.5
I3432,Portugal,0.38631,0.01829,0.004598,0.112571,0.00001,0.022491,0.448435,0.007296,4995.5
I3487,Spain,0.239989,0.034545,0.00001,0.079919,0.041442,0.010434,0.584755,0.008906,3675.5
I3493,Spain,0.3261,0.047392,0.00001,0.112526,0.035397,0.011489,0.431146,0.03594,3351.5
I3494,Spain,0.289425,0.044084,0.00705,0.104312,0.00001,0.017494,0.525845,0.011781,3836.5
I3576,Spain,0.304157,0.05162,0.00001,0.042682,0.020269,0.062616,0.492329,0.026316,1527
I3585,Spain,0.286181,0.071656,0.018599,0.074967,0.00001,0.050041,0.476384,0.022161,1228.5
I3716,Ukraine,0.068117,0.331621,0.016354,0.378491,0.00001,0.015982,0.175765,0.01366,7399
I3756,Spain,0.304421,0.054735,0.00001,0.105525,0.00001,0.016709,0.498065,0.020525,3897.5
I3758,Spain,0.249553,0.12123,0.005998,0.09841,0.010809,0.012147,0.497256,0.004596,2284.5
I3759,Spain,0.254142,0.091919,0.011505,0.084508,0.021552,0.012489,0.505601,0.018285,2278
I3980,Spain,0.336681,0.056032,0.00001,0.027025,0.029751,0.104287,0.43819,0.008023,1483.5
I3983,Spain,0.304401,0.075482,0.033868,0.056665,0.01191,0.066557,0.438467,0.012649,1654
I3997,Spain,0.254602,0.024777,0.0017,0.109116,0.018041,0.023596,0.559708,0.00846,3741
I4246,Spain,0.355603,0.023207,0.00001,0.037149,0.01788,0.204596,0.326745,0.03481,4251.5
I4562,Spain,0.275523,0.078027,0.007537,0.122298,0.00001,0.021644,0.484189,0.010772,3680.5
I4565,Spain,0.296869,0.00001,0.00001,0.096563,0.009831,0.017809,0.565235,0.013674,4964.5
I5076,Portugal,0.342066,0.025787,0.00001,0.09788,0.00001,0.027501,0.4917,0.015045,5180.5
I5429,Portugal,0.342861,0.020122,0.00001,0.10516,0.004283,0.023535,0.488049,0.015979,4948.5
I5872,Ukraine,0.054725,0.25269,0.00001,0.368173,0.00001,0.005617,0.294208,0.024567,7432
I5892,Ukraine,0.06078,0.278091,0.00001,0.363516,0.013664,0.016452,0.267478,0.00001,7142
I6470,Spain,0.2616,0.068993,0.00001,0.110733,0.006389,0.016393,0.519952,0.01593,3651
I6608,Spain,0.406198,0.000013,0.009539,0.130208,0.016878,0.007167,0.429988,0.00001,3894
I6618,Spain,0.2793,0.04228,0.00001,0.074525,0.020334,0.019086,0.551866,0.0126,3786
I7162,Spain,0.292896,0.055673,0.00001,0.08251,0.003467,0.044755,0.511563,0.009126,3814.5
I7594,Spain,0.294389,0.030655,0.00001,0.059775,0.014758,0.017262,0.562012,0.02114,5444.5
I7598,Spain,0.341145,0.008283,0.00371,0.086595,0.00001,0.01851,0.5348,0.006947,5500
I7601,Spain,0.326209,0.004544,0.00001,0.094837,0.009145,0.004959,0.547758,0.012538,5590
I7642,Spain,0.344647,0.004067,0.00001,0.085361,0.006736,0.028136,0.518542,0.0125,4834
I7643,Spain,0.396282,0.008283,0.00001,0.08312,0.00001,0.023909,0.468158,0.020228,5835
I7644,Spain,0.332456,0.00001,0.00001,0.091656,0.005429,0.027961,0.531298,0.011181,5510
I7646,Spain,0.301515,0.018617,0.017251,0.052679,0.012453,0.039078,0.551069,0.007338,5670
I8131,Spain,0.32469,0.00001,0.00001,0.111056,0.017541,0.023901,0.507716,0.015075,4517.5
I8136,Spain,0.290666,0.055095,0.00001,0.081348,0.0066,0.024984,0.518692,0.022605,3512
I8144,Spain,0.278239,0.124729,0.015984,0.050001,0.00001,0.006126,0.524901,0.00001,3756.5
I8208,Spain,0.332886,0.057551,0.031551,0.00001,0.00001,0.021511,0.533719,0.022761,2287
I8568,Spain,0.331345,0.004779,0.00001,0.079939,0.00001,0.016007,0.550973,0.016938,5426
I8569,Spain,0.340758,0.011143,0.00001,0.0924,0.000515,0.020018,0.522172,0.012984,4748.5
Kivutkalns164,Latvia,0.198743,0.142776,0.014374,0.187412,0.044449,0.014888,0.376616,0.020741,2560
LD1174,Portugal,0.00001,0.00001,0.00001,0.00001,0.00001,0.001548,0.998392,0.00001,4517
LD270,Portugal,0.00002,0.00001,0.00001,0.00001,0.00001,0.00001,0.99992,0.00001,4441
LU339,Spain,0.000011,0.00001,0.00001,0.001119,0.00001,0.00001,0.998821,0.00001,4944
MUR,Spain,0.046167,0.00001,0.00001,0.00001,0.00001,0.00001,0.953773,0.00001,7185
N17,Poland,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.99993,0.00001,3895.5
N18,Poland,0.043526,0.00001,0.00001,0.000011,0.00001,0.00166,0.954764,0.00001,5512.5
N26,Poland,0.026069,0.004983,0.00001,0.00001,0.00001,0.002487,0.966421,0.00001,6201
N31,Poland,0.060601,0.00001,0.00001,0.00001,0.00001,0.00001,0.939339,0.00001,6187.5
N44,Poland,0.00001,0.172869,0.00001,0.00001,0.00001,0.003585,0.823496,0.00001,4455
N45,Poland,0.00001,0.00001,0.00001,0.006883,0.029156,0.00001,0.963911,0.00001,4455
N47,Poland,0.006499,0.00001,0.00001,0.094954,0.00001,0.00001,0.898497,0.00001,4455
N49,Poland,0.00001,0.00001,0.008054,0.096449,0.00001,0.00001,0.895447,0.00001,4455
RISE1159,Poland,0.015563,0.00001,0.00001,0.00001,0.00001,0.00001,0.984377,0.00001,4230
RISE1162,Poland,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.99993,0.00001,4280
RISE1163,Poland,0.019233,0.00001,0.00001,0.00001,0.00001,0.001154,0.979563,0.00001,4246
RISE1170,Poland,0.03538,0.00001,0.00001,0.00001,0.00001,0.00001,0.96456,0.00001,4263
RISE1173,Poland,0.025127,0.00001,0.00001,0.01922,0.00001,0.001876,0.953738,0.00001,4149
RISE674,Russia,0.00001,0.160577,0.00001,0.00001,0.00001,0.00001,0.45508,0.384293,4128.5
RISE683,Russia,0.00001,0.249974,0.00001,0.036499,0.00001,0.002189,0.434751,0.276557,4026.5
sf9,Sweden,0.004196,0.184031,0.00001,0.491538,0.00001,0.003546,0.306101,0.010568,9194
Sidelkino,Russia,0.00001,0.297313,0.00001,0.253531,0.00001,0.00001,0.449106,0.00001,11308.5
STT-A2,Iceland,0.00001,0.00001,0.00001,0.00001,0.00001,0.000816,0.999124,0.00001,1005
sunghir6,Russia,0.00001,0.00001,0.00001,0.00001,0.00001,0.001144,0.998796,0.00001,840
Turlojiske1932,Lithuania,0.10998,0.150961,0.04495,0.161043,0.00001,0.00001,0.533036,0.00001,3075
VAD001,Spain,0.249922,0.056517,0.006869,0.088086,0.021582,0.014697,0.546517,0.015811,3741.5
VAD002,Spain,0.270688,0.059214,0.00001,0.128509,0.01292,0.019723,0.445502,0.063434,3608.5
VAD005,Spain,0.279971,0.076202,0.00001,0.118601,0.007196,0.015115,0.488106,0.014799,3644
ALA001,Turkey,0.36,0.08,0.08,0.00,0.01,0.03,0.40,0.04,3360.5
ALA002,Turkey,0.35,0.06,0.07,0.01,0.02,0.03,0.40,0.05,3398.5
ALA004,Turkey,0.34,0.09,0.11,0.01,0.00,0.03,0.39,0.03,3773.5
ALA008,Turkey,0.32,0.06,0.09,0.01,0.01,0.03,0.45,0.04,3740.5
ALA009,Turkey,0.13,0.13,0.01,0.10,0.02,0.00,0.58,0.04,3699
ALA011,Turkey,0.32,0.07,0.11,0.01,0.00,0.02,0.44,0.03,3632.5
ALA013,Turkey,0.31,0.08,0.07,0.00,0.01,0.04,0.45,0.04,3735.5
ALA014,Turkey,0.34,0.04,0.10,0.00,0.02,0.04,0.42,0.03,3636.5
ALA015,Turkey,0.33,0.09,0.13,0.01,0.01,0.03,0.38,0.03,3847.5
ALA016,Turkey,0.39,0.08,0.10,0.01,0.01,0.04,0.34,0.02,3511.5
ALA017,Turkey,0.42,0.07,0.09,0.00,0.00,0.04,0.35,0.03,3490
ALA018,Turkey,0.30,0.09,0.12,0.00,0.02,0.03,0.40,0.04,3361.5
ALA019,Turkey,0.12,0.22,0.24,0.01,0.02,0.03,0.26,0.10,3518
ALA020,Turkey,0.33,0.10,0.11,0.00,0.02,0.02,0.39,0.03,3398.5
ALA023,Turkey,0.43,0.03,0.11,0.04,0.04,0.03,0.31,0.02,3792
ALA024,Turkey,0.39,0.04,0.18,0.00,0.05,0.03,0.30,0.00,3895
ALA025,Turkey,0.34,0.08,0.08,0.00,0.01,0.03,0.41,0.04,3731.5
ALA026,Turkey,0.31,0.06,0.09,0.01,0.01,0.03,0.45,0.03,3636
ALA028,Turkey,0.34,0.09,0.09,0.01,0.00,0.03,0.42,0.03,3721.5
ALA029,Turkey,0.37,0.06,0.08,0.01,0.01,0.03,0.41,0.03,3737.5
ALA030,Turkey,0.34,0.09,0.08,0.01,0.02,0.02,0.43,0.02,3484.5
ALA034,Turkey,0.32,0.07,0.10,0.01,0.02,0.04,0.41,0.04,3720
ALA035,Turkey,0.33,0.08,0.13,0.01,0.02,0.04,0.37,0.02,3811
ALA037,Turkey,0.38,0.07,0.07,0.00,0.00,0.04,0.42,0.03,3741.5
ALA038,Turkey,0.33,0.11,0.14,0.00,0.00,0.02,0.37,0.03,3487
ALA039,Turkey,0.31,0.11,0.10,0.01,0.00,0.04,0.41,0.02,3325.5
ALA084,Turkey,0.35,0.12,0.15,0.02,0.01,0.05,0.30,0.00,3841.5
ALA095,Turkey,0.38,0.09,0.09,0.01,0.00,0.04,0.37,0.03,3784.5
ALX002,Azerbaijan,0.33,0.11,0.13,0.00,0.02,0.02,0.38,0.02,5668.5
ART001,Turkey,0.38,0.08,0.09,0.01,0.01,0.04,0.38,0.02,4335.5
ART004,Turkey,0.34,0.08,0.17,0.01,0.02,0.02,0.26,0.10,5650
ART005,Turkey,0.44,0.05,0.05,0.00,0.02,0.03,0.38,0.03,5662
ART009,Turkey,0.30,0.08,0.09,0.00,0.01,0.03,0.47,0.03,4615.5
ART010,Turkey,0.34,0.11,0.10,0.01,0.02,0.03,0.39,0.01,4631
ART011,Turkey,0.33,0.09,0.13,0.00,0.01,0.03,0.39,0.03,4667
ART012,Turkey,0.37,0.08,0.06,0.00,0.00,0.03,0.43,0.02,5134.5
ART014,Turkey,0.37,0.07,0.07,0.02,0.00,0.03,0.41,0.02,5255.5
ART015,Turkey,0.35,0.09,0.07,0.01,0.00,0.02,0.43,0.03,5189.5
ART017,Turkey,0.38,0.10,0.09,0.00,0.00,0.04,0.38,0.02,5177
ART018,Turkey,0.28,0.13,0.12,0.01,0.01,0.02,0.40,0.03,5256.5
ART019,Turkey,0.38,0.11,0.11,0.00,0.00,0.04,0.33,0.03,5377
ART020,Turkey,0.32,0.08,0.09,0.01,0.02,0.03,0.42,0.03,5183.5
ART027,Turkey,0.34,0.13,0.10,0.01,0.00,0.02,0.36,0.04,5186.5
ART022,Turkey,0.38,0.08,0.06,0.01,0.01,0.03,0.42,0.01,5339.5
ART023,Turkey,0.36,0.05,0.13,0.00,0.02,0.02,0.40,0.02,5251.5
ART024,Turkey,0.38,0.07,0.10,0.01,0.01,0.02,0.38,0.03,5374.5
ART026,Turkey,0.34,0.11,0.09,0.01,0.01,0.02,0.39,0.03,5168
ART032,Turkey,0.31,0.08,0.11,0.00,0.02,0.02,0.44,0.02,5254
ART038,Turkey,0.34,0.03,0.09,0.00,0.02,0.02,0.47,0.02,5183
ART039,Turkey,0.30,0.04,0.11,0.02,0.03,0.01,0.46,0.02,5654
ART042,Turkey,0.33,0.06,0.08,0.01,0.01,0.03,0.46,0.03,5774.5
CBT001,Turkey,0.36,0.04,0.07,0.01,0.02,0.02,0.47,0.03,5455
CBT002,Turkey,0.37,0.08,0.07,0.01,0.01,0.02,0.41,0.02,5538
CBT004,Turkey,0.34,0.06,0.07,0.01,0.01,0.02,0.45,0.04,5528
CBT005,Turkey,0.34,0.07,0.07,0.00,0.00,0.02,0.48,0.02,5452.5
CBT013,Turkey,0.36,0.06,0.07,0.00,0.03,0.01,0.44,0.03,5534
CBT014,Turkey,0.34,0.07,0.05,0.00,0.00,0.02,0.48,0.03,5462
CBT015,Turkey,0.34,0.07,0.08,0.00,0.00,0.03,0.44,0.03,5532
CBT016,Turkey,0.37,0.08,0.03,0.01,0.01,0.02,0.44,0.04,5559.5
CBT018,Turkey,0.40,0.09,0.03,0.00,0.00,0.03,0.43,0.01,7519.5
ETM012,Syria,0.35,0.07,0.10,0.00,0.01,0.04,0.41,0.03,4522
ETM016,Syria,0.36,0.12,0.07,0.00,0.01,0.03,0.36,0.04,3911
ETM018,Syria,0.30,0.00,0.10,0.00,0.02,0.07,0.50,0.02,3999.5
IKI002,Turkey,0.32,0.08,0.11,0.04,0.00,0.01,0.43,0.02,5166.5
IKI009,Turkey,0.37,0.15,0.08,0.00,0.00,0.03,0.33,0.04,5190.5
IKI012,Turkey,0.35,0.10,0.09,0.01,0.00,0.02,0.38,0.04,5193
IKI016,Turkey,0.39,0.14,0.06,0.00,0.00,0.02,0.36,0.03,5394.5
IKI017,Turkey,0.36,0.05,0.11,0.00,0.05,0.03,0.40,0.00,5259
IKI024,Turkey,0.46,0.13,0.05,0.00,0.00,0.01,0.35,0.01,5828.5
IKI030,Turkey,0.39,0.13,0.00,0.00,0.03,0.03,0.41,0.00,5384.5
IKI034,Turkey,0.35,0.13,0.05,0.01,0.00,0.02,0.41,0.03,5376
IKI036,Turkey,0.36,0.13,0.01,0.00,0.02,0.04,0.40,0.05,5450.5
IKI037,Turkey,0.38,0.06,0.09,0.01,0.00,0.01,0.43,0.02,5458.5
IKI038,Turkey,0.39,0.15,0.00,0.00,0.05,0.02,0.39,0.01,5457
KRD001,Turkey,0.50,0.02,0.00,0.00,0.01,0.02,0.42,0.02,7630
KRD002,Turkey,0.44,0.09,0.01,0.00,0.00,0.04,0.40,0.01,6877
KRD003,Turkey,0.51,0.03,0.00,0.01,0.01,0.03,0.39,0.01,7614
KRD004,Turkey,0.44,0.04,0.02,0.03,0.00,0.04,0.39,0.02,7623
KRD005,Turkey,0.46,0.04,0.00,0.02,0.00,0.02,0.42,0.03,7660
MTT001,Azerbaijan,0.36,0.11,0.09,0.01,0.02,0.02,0.36,0.03,7636.5
POT002,Azerbaijan,0.31,0.11,0.19,0.00,0.02,0.03,0.32,0.02,7390.5
TIT021,Turkey,0.37,0.04,0.15,0.00,0.00,0.04,0.38,0.03,4186
CBT003,Turkey,0.38,0.10,0.03,0.00,0.00,0.03,0.42,0.04,5450
CBT010,Turkey,0.36,0.08,0.06,0.00,0.00,0.03,0.45,0.02,5480
CBT011,Turkey,0.34,0.07,0.06,0.00,0.02,0.02,0.46,0.03,5480
CBT017,Turkey,0.36,0.03,0.05,0.00,0.01,0.02,0.50,0.03,5480
ETM001,Syria,0.32,0.12,0.10,0.01,0.00,0.02,0.39,0.04,3950
ETM003,Syria,0.08,0.00,0.02,0.10,0.54,0.00,0.00,0.26,2817.5
ETM004,Syria,0.38,0.06,0.14,0.03,0.00,0.02,0.31,0.05,3850
ETM005,Syria,0.34,0.12,0.11,0.01,0.00,0.04,0.35,0.03,3850
ETM006,Syria,0.38,0.09,0.11,0.01,0.03,0.03,0.33,0.02,3850
ETM010,Syria,0.33,0.09,0.10,0.01,0.03,0.07,0.34,0.03,4550
ETM014,Syria,0.34,0.08,0.09,0.01,0.01,0.03,0.41,0.04,3850
ETM015,Syria,0.31,0.00,0.16,0.00,0.04,0.00,0.47,0.02,3850
ETM017,Syria,0.10,0.00,0.00,0.00,0.00,0.00,0.54,0.36,3850
ETM021,Syria,0.00,0.00,0.27,0.01,0.16,0.22,0.30,0.03,3800
ETM023,Syria,0.30,0.07,0.14,0.02,0.02,0.04,0.39,0.02,4275
ETM025,Syria,0.00,0.00,0.00,0.32,0.31,0.26,0.00,0.11,3800
ETM026,Syria,0.36,0.07,0.09,0.01,0.03,0.03,0.36,0.03,3850
IKI006,Turkey,0.37,0.05,0.13,0.00,0.00,0.00,0.38,0.06,5250
IKI019,Turkey,0.34,0.06,0.02,0.00,0.00,0.00,0.48,0.09,5250
IKI020,Turkey,0.33,0.00,0.13,0.00,0.01,0.05,0.48,0.00,5250
IKI032,Turkey,0.46,0.00,0.00,0.15,0.00,0.00,0.30,0.08,5250
KRD006,Turkey,0.44,0.03,0.02,0.00,0.00,0.03,0.46,0.03,7550
TIT003,Turkey,0.31,0.00,0.00,0.00,0.12,0.00,0.53,0.03,4250
TIT012,Turkey,0.34,0.05,0.00,0.00,0.01,0.05,0.50,0.05,4250
TIT014,Turkey,0.46,0.16,0.00,0.00,0.00,0.00,0.38,0.00,4250
TIT015,Turkey,0.38,0.00,0.00,0.17,0.00,0.00,0.40,0.05,4250
TIT019,Turkey,0.42,0.37,0.00,0.01,0.00,0.02,0.10,0.08,4250
TIT025,Turkey,0.43,0.05,0.03,0.00,0.00,0.00,0.48,0.01,4250
